Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month
200509,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,12095,Deplaned,12095,2005,September
200509,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Thru / Transit,Other,Terminal 3,F,10,Thru / Transit * 2,20,2005,September
200509,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Enplaned,Other,International,G,29928,Enplaned,29928,2005,September
200509,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Other,International,G,5191,Deplaned,5191,2005,September
200509,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Thru / Transit,Other,International,G,96,Thru / Transit * 2,192,2005,September
200509,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,11623,Enplaned,11623,2005,September
200509,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Enplaned,Other,International,A,1997,Enplaned,1997,2005,September
200510,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Low Fare,Terminal 1,B,19983,Enplaned,19983,2005,October
200510,Air Canada ,AC,Air Canada ,AC,International,Canada,Deplaned,Other,Terminal 1,B,22176,Deplaned,22176,2005,October
200510,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,4329,Deplaned,4329,2005,October
200510,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,10515,Deplaned,10515,2005,October
200510,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,3178,Deplaned,3178,2005,October
200510,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,International,A,6680,Deplaned,6680,2005,October
200510,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,29388,Deplaned,29388,2005,October
200510,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Thru / Transit,Other,International,A,4159,Thru / Transit * 2,8318,2005,October
200510,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Other,International,A,6093,Enplaned,6093,2005,October
200510,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,5940,Deplaned,5940,2005,October
200510,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Thru / Transit,Other,International,A,2773,Thru / Transit * 2,5546,2005,October
200510,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,6001,Enplaned,6001,2005,October
200510,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,138552,Enplaned,138552,2005,October
200510,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,4524,Enplaned,4524,2005,October
200510,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,5409,Enplaned,5409,2005,October
200510,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,18988,Enplaned,18988,2005,October
